cd_cnpj,nu_ordem,fl_matriz,dt_abertura,nm_razao_social,cd_natureza_juridica,de_natureza_juridica
15044857000180,0,1,2/14/2012,MARIA GILVANIA DE AQUINO MEI,2135,EMPRESARIO INDIVIDUAL
15028623000140,0,1,2/9/2012,DEBORA PINHEIRO DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL
15028623000140,1,1,2/9/2012,DEBORA PINHEIRO DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL
07297742000170,3,1,2/14/2005,MAURO ODELLI ME,2135,EMPRESARIO INDIVIDUAL
07297742000170,4,1,2/14/2005,MAURO ODELLI ME,2135,EMPRESARIO INDIVIDUAL
07297742000170,1,1,2/14/2005,MAURO ODELLI ME,2135,EMPRESARIO INDIVIDUAL
07297742000170,2,1,2/14/2005,MAURO ODELLI ME,2135,EMPRESARIO INDIVIDUAL
07297742000170,0,1,2/14/2005,MAURO ODELLI ME,2135,EMPRESARIO INDIVIDUAL
15291845000150,1,1,3/29/2012,COMERCIO FASHION BIJU LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15291845000150,0,1,3/29/2012,COMERCIO FASHION BIJU LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15090404000190,0,1,2/24/2012,CONFECCOES BG LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15090404000190,1,1,2/24/2012,CONFECCOES BG LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
90400888251650,0,0,5/28/2010,BANCO SANTANDER BRASIL SA,2046,SOCIEDADE ANONIMA ABERTA
12254288000100,0,1,7/19/2010,CASA DO GOL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12254288000100,1,1,7/19/2010,CASA DO GOL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
04226709000160,0,1,1/5/2001,COMERCIAL M&M YAMASHITA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
16679748000100,3,1,11/14/1973,GRUPO CIENTIFICO RAMATIS,3999,ASSOCIACAO PRIVADA
16679748000100,2,1,11/14/1973,GRUPO CIENTIFICO RAMATIS,3999,ASSOCIACAO PRIVADA
16679748000100,0,1,11/14/1973,GRUPO CIENTIFICO RAMATIS,3999,ASSOCIACAO PRIVADA
16679748000100,1,1,11/14/1973,GRUPO CIENTIFICO RAMATIS,3999,ASSOCIACAO PRIVADA
07793444000170,0,1,1/6/2006,KAUS & KAUS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
07793444000170,1,1,1/6/2006,KAUS & KAUS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
03220549000180,1,1,6/15/1999,ROMERIO RODRIGUES LEITE ME,2135,EMPRESARIO INDIVIDUAL
03220549000180,0,1,6/15/1999,ROMERIO RODRIGUES LEITE ME,2135,EMPRESARIO INDIVIDUAL
01687525000100,2,1,2/12/1996,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,3999,ASSOCIACAO PRIVADA
01687525000100,0,1,2/12/1996,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,3999,ASSOCIACAO PRIVADA
01687525000100,1,1,2/12/1996,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,3999,ASSOCIACAO PRIVADA
11772974000100,2,1,4/6/2010,G MARIA DE AMORIM ME,2135,EMPRESARIO INDIVIDUAL
11772974000100,0,1,4/6/2010,G MARIA DE AMORIM ME,2135,EMPRESARIO INDIVIDUAL
11772974000100,1,1,4/6/2010,G MARIA DE AMORIM ME,2135,EMPRESARIO INDIVIDUAL
05850538000290,0,0,6/30/2009,TECOPY COPIADORA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
86396371000150,0,1,3/21/1994,LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
52792652000100,0,1,8/11/1983,CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15818386000110,0,1,6/29/2012,ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA,3999,ASSOCIACAO PRIVADA
01498181000190,0,1,10/16/1996,COMERCIAL DE PNEUS WENDT LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
80495856000700,0,0,3/24/1988,RPS FOTOGRAFIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
02186486000120,0,1,9/30/1997,MOACIR LUIZ DA SILVA VARGAS ME,2135,EMPRESARIO INDIVIDUAL
65070146000230,0,0,5/20/1997,BAR E LANCHONETE PAYSAGE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
02053352000130,0,1,8/11/1997,AGILIS MOTOCICLE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06319255001170,3,0,2/20/1975,PG DOIS AGRICOLA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06319255001170,0,0,2/20/1975,PG DOIS AGRICOLA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06319255001170,2,0,2/20/1975,PG DOIS AGRICOLA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06319255001170,1,0,2/20/1975,PG DOIS AGRICOLA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
10886199000150,0,1,4/30/2009,VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI,2313,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES
12019359000190,1,1,5/25/2010,PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA
12019359000190,0,1,5/25/2010,PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA
06216178000150,0,1,3/31/2004,CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
06216178000150,1,1,3/31/2004,CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12459122000120,3,1,8/30/2010,RICARDO JOSE DA ROCHA MEI,2135,EMPRESARIO INDIVIDUAL
12459122000120,4,1,8/30/2010,RICARDO JOSE DA ROCHA MEI,2135,EMPRESARIO INDIVIDUAL
12459122000120,0,1,8/30/2010,RICARDO JOSE DA ROCHA MEI,2135,EMPRESARIO INDIVIDUAL
12459122000120,2,1,8/30/2010,RICARDO JOSE DA ROCHA MEI,2135,EMPRESARIO INDIVIDUAL
12459122000120,1,1,8/30/2010,RICARDO JOSE DA ROCHA MEI,2135,EMPRESARIO INDIVIDUAL
10532571000120,0,1,12/12/2008,SAULO FERNANDO GATO SCRIBONI,4120,PRODUTOR RURAL PESSOA FISICA
11163415000100,2,1,8/25/2009,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11163415000100,3,1,8/25/2009,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11163415000100,1,1,8/25/2009,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11163415000100,0,1,8/25/2009,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
20963351002230,0,0,8/16/1978,DIOCESE DE ITABIRA,3220,ORGANIZACAO RELIGIOSA
55055743000150,2,1,3/30/1988,CONDOMINIO ABC SHOPPING CENTER,3999,ASSOCIACAO PRIVADA
55055743000150,0,1,3/30/1988,CONDOMINIO ABC SHOPPING CENTER,3999,ASSOCIACAO PRIVADA
55055743000150,1,1,3/30/1988,CONDOMINIO ABC SHOPPING CENTER,3999,ASSOCIACAO PRIVADA
11199599000150,4,1,9/21/2009,LUSCO FUSCO FILMES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11199599000150,3,1,9/21/2009,LUSCO FUSCO FILMES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11199599000150,1,1,9/21/2009,LUSCO FUSCO FILMES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11199599000150,2,1,9/21/2009,LUSCO FUSCO FILMES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11199599000150,0,1,9/21/2009,LUSCO FUSCO FILMES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
09445384000120,2,1,3/13/2008,S DE SENA FERREIRA ME,2135,EMPRESARIO INDIVIDUAL
09445384000120,1,1,3/13/2008,S DE SENA FERREIRA ME,2135,EMPRESARIO INDIVIDUAL
09445384000120,0,1,3/13/2008,S DE SENA FERREIRA ME,2135,EMPRESARIO INDIVIDUAL
87301180000120,0,1,1/9/1973,ELIAR HOFSTATTER ME,2135,EMPRESARIO INDIVIDUAL
08739568000130,0,1,2/23/2007,PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
04500550000120,0,1,6/7/2001,O F DE OLIVEIRA ME,2135,EMPRESARIO INDIVIDUAL
12810402000130,0,1,10/26/2010,SILVANI PRATES DOS SANTOS ME,2135,EMPRESARIO INDIVIDUAL
12810402000130,1,1,10/26/2010,SILVANI PRATES DOS SANTOS ME,2135,EMPRESARIO INDIVIDUAL
05410317000110,0,1,11/28/2002,HYDROLAB ENGENHARIA E CONSULTORIA ME SS,2232,SOCIEDADE SIMPLES PURA
12223579000130,0,1,6/11/2010,WORK TAX SOLUCAO EMPRESARIAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
96617865000170,0,1,5/3/1993,TOSHIO TATSUMI MARACAI ME,2135,EMPRESARIO INDIVIDUAL
08047579000150,0,1,6/5/2006,ILSA ALICE MULLER OLIVEIRA,4120,PRODUTOR RURAL PESSOA FISICA
08047579000150,1,1,6/5/2006,ILSA ALICE MULLER OLIVEIRA,4120,PRODUTOR RURAL PESSOA FISICA
09873296000120,,1,7/8/2008,ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO
08641806000170,,1,2/7/2007,AFM MODALIDADE LOTERICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
09214498000160,,1,11/6/2007,O BARISTA CAFE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12690066000130,4,1,10/6/2010,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12690066000130,3,1,10/6/2010,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12690066000130,0,1,10/6/2010,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12690066000130,2,1,10/6/2010,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12690066000130,1,1,10/6/2010,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
07605227000100,,1,9/19/2005,MARVELISE MULER DE OLIVEIRA & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
94409778000100,0,1,1/2/1992,O WEHRMANN E CIA LTDA M E ME,2062,SOCIEDADE EMPRESARIA LIMITADA
21081120000130,0,1,2/5/1981,CARTORIO DO REGISTRO CIVIL DE NICOLANDIA,3034,SERVICO NOTARIAL E REGISTRAL CARTORIO
77687663000150,2,1,10/31/1983,ARTECLASSE ESTOFADOS EIRELI,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA
77687663000150,0,1,10/31/1983,ARTECLASSE ESTOFADOS EIRELI,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA
77687663000150,1,1,10/31/1983,ARTECLASSE ESTOFADOS EIRELI,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA
13103110000120,0,1,1/13/2011,MARINETE SILVA PEREIRA MEI,2135,EMPRESARIO INDIVIDUAL
84630474000450,0,0,3/29/1994,L M L EXPORTACAO DE CAFE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
37224847000160,2,1,9/11/1992,AREEIRO COSME & DAMIAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
37224847000160,1,1,9/11/1992,AREEIRO COSME & DAMIAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
37224847000160,0,1,9/11/1992,AREEIRO COSME & DAMIAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
11971190000100,0,1,5/20/2010,SILVANIRA PEREIRA NAZARE MEI,2135,EMPRESARIO INDIVIDUAL
07244034000170,0,1,2/3/2005,CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
12121605000110,0,1,6/21/2010,NADIR RODOLFO DE JESUS TOLEDO E OUTRA,4120,PRODUTOR RURAL PESSOA FISICA
12121605000110,1,1,6/21/2010,NADIR RODOLFO DE JESUS TOLEDO E OUTRA,4120,PRODUTOR RURAL PESSOA FISICA
12708033000170,2,1,10/21/2010,JORGE SOARES DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL
12708033000170,0,1,10/21/2010,JORGE SOARES DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL
12708033000170,1,1,10/21/2010,JORGE SOARES DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL
62955505281310,0,0,11/22/1988,IGREJA DO EVANGELHO QUADRANGULAR,3220,ORGANIZACAO RELIGIOSA
21614193000140,3,1,12/13/1985,GARFIG REPRESENTACOES LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA
21614193000140,4,1,12/13/1985,GARFIG REPRESENTACOES LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA
21614193000140,1,1,12/13/1985,GARFIG REPRESENTACOES LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA
21614193000140,2,1,12/13/1985,GARFIG REPRESENTACOES LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA
21614193000140,0,1,12/13/1985,GARFIG REPRESENTACOES LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA
05008116000190,0,1,11/22/2001,BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
07095151000110,0,1,4/13/1983,SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15493137000100,0,1,5/8/2012,RICARDO PIRES LEAL MEI,2135,EMPRESARIO INDIVIDUAL
09253073000160,0,1,11/14/2007,RENATA FERREIRA DA SILVA VESTUARIO ME,2135,EMPRESARIO INDIVIDUAL
05266699000150,0,1,8/26/2002,VALDIVIA ROSA DOS SANTOS LIMA ME,2135,EMPRESARIO INDIVIDUAL
05312857000160,,1,9/11/2002,BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
05421886000160,,1,12/3/2002,BISSOTO & DARIOLI MINIMERCADO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
42064295000100,,1,11/18/1992,AUTO LOCADORA TRANS REI LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
01893515000120,,1,5/27/1997,VITOR A RODRIGUES GAS,2135,EMPRESARIO INDIVIDUAL
15136062000100,,1,9/23/1986,INSTITUTO DE ENSINO E ASSISTENCIA TECNICA ELETRONICA LT,2062,SOCIEDADE EMPRESARIA LIMITADA
17184201078970,,0,6/20/1986,TELECOMUNICACOES DE MINAS GERAIS SA TELEMIG,2038,SOCIEDADE DE ECONOMIA MISTA
15136583000150,,1,12/31/1965,ARTUR WATT IRMAO CIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
15361199000150,,1,10/4/1982,MAMORE AUTO POSTO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
15608045000110,,1,1/11/1983,FERNANDES & FILHOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
07435464000170,,1,5/30/1984,LUIZ HIPOLITO DOS SANTOS ME,2135,EMPRESARIO INDIVIDUAL
08180392000120,,1,7/26/2006,GIOVANNI CIRACI ME,2135,EMPRESARIO INDIVIDUAL
02265502000170,,1,10/10/1977,ILDEU DOS SANTOS ABBADIA,2135,EMPRESARIO INDIVIDUAL
04907539000180,,1,2/18/2002,F DE ASSIS MELO ME,2135,EMPRESARIO INDIVIDUAL
12537293000120,0,1,9/16/2010,GERALDO SIMIAO AZEVEDO ME,2135,EMPRESARIO INDIVIDUAL
12537293000120,1,1,9/16/2010,GERALDO SIMIAO AZEVEDO ME,2135,EMPRESARIO INDIVIDUAL
09437544000190,0,1,3/24/2008,H D INFORMATICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
09437544000190,1,1,3/24/2008,H D INFORMATICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
10118122000130,,1,7/12/2008,ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PSDC,3999,ASSOCIACAO PRIVADA
03814359000190,,1,5/11/2000,ITIBAN CONTABILIDADE LTDA ME SC,2240,SOCIEDADE SIMPLES LIMITADA
61538567000100,,1,9/21/1989,COPERNOX INOXIDAVEIS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
04966436000190,,1,3/25/2002,J DE OLIVEIRA MUNIZ PANIFICADORA ME,2135,EMPRESARIO INDIVIDUAL
64624521000100,,1,10/2/1990,ARTHUR PEDRO FERREIRA ASSIS,2135,EMPRESARIO INDIVIDUAL
77365765000150,,1,6/20/1977,ACCACIO MOSCARDI,2135,EMPRESARIO INDIVIDUAL
00326297000180,0,1,11/30/1994,MARCI VICENTE PSCHEIDT ME,2135,EMPRESARIO INDIVIDUAL
14644627000190,0,1,10/13/2011,FRANCISCO ANTONIO CORREA DE APOIO ESCRITORIO ME,2135,EMPRESARIO INDIVIDUAL
13629575000110,0,1,5/2/2011,MARLENE ALVES DE FREITAS ME,2135,EMPRESARIO INDIVIDUAL
13629575000110,1,1,5/2/2011,MARLENE ALVES DE FREITAS ME,2135,EMPRESARIO INDIVIDUAL
15581916000150,0,1,5/23/2012,CLAUDENIR MANOEL DE ARAUJO MEI,2135,EMPRESARIO INDIVIDUAL
03471229000100,0,1,10/26/1999,MOVEIS PORTUGUES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
06230514000110,0,1,4/23/2004,MERCADAO DE CARNES CACHOEIRINHA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
14894610000190,0,1,1/17/2012,JOSIAS ALVES DE CAMPOS MEI,2135,EMPRESARIO INDIVIDUAL
14894610000190,1,1,1/17/2012,JOSIAS ALVES DE CAMPOS MEI,2135,EMPRESARIO INDIVIDUAL
05438357000170,0,1,12/2/2002,IOLANDA CIRINO ME,2135,EMPRESARIO INDIVIDUAL
13401477000120,4,1,3/21/2011,LAGOA LOTERIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
13401477000120,3,1,3/21/2011,LAGOA LOTERIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
13401477000120,1,1,3/21/2011,LAGOA LOTERIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
13401477000120,2,1,3/21/2011,LAGOA LOTERIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
13401477000120,0,1,3/21/2011,LAGOA LOTERIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
72833999000160,0,1,8/25/1966,MICHEL GEORGES MICHAELIDES ME,2135,EMPRESARIO INDIVIDUAL
12481765000170,4,1,8/31/2010,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
12481765000170,3,1,8/31/2010,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
12481765000170,2,1,8/31/2010,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
12481765000170,1,1,8/31/2010,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
12481765000170,0,1,8/31/2010,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
11771732000100,0,1,4/5/2010,ILHA COMERCIO DE ARTIGOS DE SURF LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
10441320000130,0,1,10/30/2008,PORTAS PRONTAS BARRETO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
10850466000130,3,1,5/14/2009,SG PROJETOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
10850466000130,2,1,5/14/2009,SG PROJETOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
10850466000130,1,1,5/14/2009,SG PROJETOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
10850466000130,0,1,5/14/2009,SG PROJETOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
10480447000240,2,0,2/1/2012,A R L DE SOUZA ROUPAS ME,2135,EMPRESARIO INDIVIDUAL
10480447000240,1,0,2/1/2012,A R L DE SOUZA ROUPAS ME,2135,EMPRESARIO INDIVIDUAL
10480447000240,0,0,2/1/2012,A R L DE SOUZA ROUPAS ME,2135,EMPRESARIO INDIVIDUAL
15697292000130,2,1,6/1/2012,PET CAO PRODUTOS VETERINARIOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15697292000130,1,1,6/1/2012,PET CAO PRODUTOS VETERINARIOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15697292000130,0,1,6/1/2012,PET CAO PRODUTOS VETERINARIOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
15217444000150,0,1,3/19/2012,RICARDO FIDELIS MELO ME,2135,EMPRESARIO INDIVIDUAL
15217444000150,1,1,3/19/2012,RICARDO FIDELIS MELO ME,2135,EMPRESARIO INDIVIDUAL
15220854000150,4,1,3/19/2012,JOAO BATISTA LIMA DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL
15220854000150,3,1,3/19/2012,JOAO BATISTA LIMA DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL
15220854000150,2,1,3/19/2012,JOAO BATISTA LIMA DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL
15220854000150,1,1,3/19/2012,JOAO BATISTA LIMA DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL
15220854000150,0,1,3/19/2012,JOAO BATISTA LIMA DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL
15740742000120,0,1,12/1/2009,DIRETORIO DO PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO PMDB DO MUNICIPIO DE NOSSA SENHORA DE LOURDES,3271,ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO
08216974000380,0,0,8/16/2006,ALCIDES DOS SANTOS MOREIRA E OUTRA,4120,PRODUTOR RURAL PESSOA FISICA
01995195000110,0,1,7/16/1997,BESTWAY LOCACOES E SERVICOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
03391792000160,4,1,9/3/1999,GEDEAO LOURENCO DE SOUZA ME,2135,EMPRESARIO INDIVIDUAL
03391792000160,3,1,9/3/1999,GEDEAO LOURENCO DE SOUZA ME,2135,EMPRESARIO INDIVIDUAL
03391792000160,1,1,9/3/1999,GEDEAO LOURENCO DE SOUZA ME,2135,EMPRESARIO INDIVIDUAL
03391792000160,2,1,9/3/1999,GEDEAO LOURENCO DE SOUZA ME,2135,EMPRESARIO INDIVIDUAL
03391792000160,0,1,9/3/1999,GEDEAO LOURENCO DE SOUZA ME,2135,EMPRESARIO INDIVIDUAL
08457794000390,0,0,2/11/2010,ARY ANTONIO MADUREIRA,4120,PRODUTOR RURAL PESSOA FISICA
08457794000390,1,0,2/11/2010,ARY ANTONIO MADUREIRA,4120,PRODUTOR RURAL PESSOA FISICA
14222846000180,0,1,8/24/2011,ACADEMIA C 4 FITNESS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
14222846000180,1,1,8/24/2011,ACADEMIA C 4 FITNESS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA
07669934000160,0,1,9/1/2005,M A NOGUEIRA REPRESENTACOES COMERCIAIS ME,2135,EMPRESARIO INDIVIDUAL
06137179000100,3,1,2/19/2004,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06137179000100,4,1,2/19/2004,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06137179000100,0,1,2/19/2004,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06137179000100,2,1,2/19/2004,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
06137179000100,1,1,2/19/2004,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA
