cd_cnpj,de_saude_tributaria,de_nivel_atividade,de_situacao,de_classif_natureza_juridica
42064295000100,,INATIVA,BAIXADA,PRIVADO
01893515000120,,INATIVA,BAIXADA,PRIVADO
15136062000100,,INATIVA,BAIXADA,PRIVADO
17184201078970,,INATIVA,BAIXADA,MISTA
15136583000150,,INATIVA,BAIXADA,PRIVADO
15361199000150,,INATIVA,BAIXADA,PRIVADO
15608045000110,,INATIVA,BAIXADA,PRIVADO
07435464000170,,INATIVA,BAIXADA,PRIVADO
08180392000120,,INATIVA,BAIXADA,PRIVADO
02265502000170,,INATIVA,BAIXADA,PRIVADO
04907539000180,,INATIVA,BAIXADA,PRIVADO
12537293000120,,INATIVA,BAIXADA,PRIVADO
09437544000190,,INATIVA,BAIXADA,PRIVADO
10118122000130,,INATIVA,BAIXADA,PRIVADO
03814359000190,,INATIVA,BAIXADA,PRIVADO
61538567000100,,INATIVA,BAIXADA,PRIVADO
04966436000190,,INATIVA,BAIXADA,PRIVADO
64624521000100,,INATIVA,BAIXADA,PRIVADO
77365765000150,,INATIVA,BAIXADA,PRIVADO
00326297000180,LARANJA,BAIXA,ATIVA,PRIVADO
14644627000190,AMARELO,MEDIA,ATIVA,PRIVADO
13629575000110,VERDE,ALTA,ATIVA,PRIVADO
15581916000150,AMARELO,MEDIA,ATIVA,PRIVADO
03471229000100,AZUL,ALTA,ATIVA,PRIVADO
06230514000110,LARANJA,BAIXA,ATIVA,PRIVADO
14894610000190,AZUL,MEDIA,ATIVA,PRIVADO
05438357000170,AMARELO,MEDIA,ATIVA,PRIVADO
13401477000120,VERDE,ALTA,ATIVA,PRIVADO
72833999000160,VERDE,MEDIA,ATIVA,PRIVADO
12481765000170,AZUL,MEDIA,ATIVA,PRIVADO
11771732000100,AZUL,MEDIA,ATIVA,PRIVADO
10441320000130,VERDE,ALTA,ATIVA,PRIVADO
10850466000130,VERDE,ALTA,ATIVA,PRIVADO
10480447000240,VERDE,ALTA,ATIVA,PRIVADO
15697292000130,AZUL,MEDIA,ATIVA,PRIVADO
15217444000150,AZUL,ALTA,ATIVA,PRIVADO
15220854000150,AMARELO,MEDIA,ATIVA,PRIVADO
15740742000120,AMARELO,MEDIA,ATIVA,PUBLICO
08216974000380,VERDE,MEDIA,ATIVA,PRIVADO
01995195000110,LARANJA,BAIXA,ATIVA,PRIVADO
03391792000160,AZUL,ALTA,ATIVA,PRIVADO
08457794000390,VERDE,MEDIA,ATIVA,PRIVADO
14222846000180,VERDE,MEDIA,ATIVA,PRIVADO
07669934000160,VERDE,INATIVA,BAIXADA,PRIVADO
06137179000100,AZUL,MEDIA,ATIVA,PRIVADO
01387360000150,VERDE,ALTA,ATIVA,PRIVADO
09545298000190,AMARELO,MEDIA,ATIVA,PUBLICO
40484867000850,VERMELHO,MEDIA,ATIVA,PRIVADO
48346043000150,VERDE,ALTA,ATIVA,PRIVADO
13567044000140,VERDE,ALTA,ATIVA,PRIVADO
13598884000170,VERDE,INATIVA,BAIXADA,PRIVADO
04056122000150,LARANJA,MEDIA,ATIVA,PRIVADO
04841694000140,AMARELO,MEDIA,ATIVA,PRIVADO
66508078000120,VERDE,ALTA,ATIVA,PRIVADO
11726294000150,VERDE,ALTA,ATIVA,PRIVADO
11959342000150,AMARELO,BAIXA,ATIVA,PRIVADO
34481390000180,AZUL,ALTA,ATIVA,PRIVADO
12555119000100,VERDE,MEDIA,ATIVA,PRIVADO
07907566000140,AZUL,ALTA,ATIVA,PRIVADO
01682355000170,LARANJA,BAIXA,ATIVA,PRIVADO
08455770000130,AZUL,ALTA,ATIVA,PRIVADO
74034307000140,LARANJA,MEDIA,ATIVA,PRIVADO
14672094000150,AMARELO,MEDIA,ATIVA,PRIVADO
02521644000150,VERMELHO,MEDIA,ATIVA,PRIVADO
14133477000150,AZUL,ALTA,ATIVA,PRIVADO
06021074000190,AZUL,MEDIA,ATIVA,PRIVADO
07784989000110,AZUL,ALTA,ATIVA,PRIVADO
14550570000160,AMARELO,MEDIA,ATIVA,PRIVADO
14570622000160,AMARELO,MEDIA,ATIVA,PRIVADO
01052752000240,VERDE,ALTA,ATIVA,PRIVADO
09353200000100,VERDE,ALTA,ATIVA,PRIVADO
09102759000150,AMARELO,BAIXA,ATIVA,PRIVADO
09310725000150,VERDE,ALTA,ATIVA,PRIVADO
08374337000170,AMARELO,MEDIA,ATIVA,PRIVADO
08225677000130,VERDE,ALTA,ATIVA,PRIVADO
13865327000410,VERDE,MEDIA,ATIVA,PRIVADO
15296818000170,VERDE,MEDIA,ATIVA,PRIVADO
08402134000140,AMARELO,MEDIA,ATIVA,PRIVADO
59121624000100,VERDE,ALTA,ATIVA,PRIVADO
92112333000120,AZUL,MEDIA,ATIVA,PRIVADO
08661339000140,,INATIVA,BAIXADA,PRIVADO
14577061000120,AMARELO,MEDIA,ATIVA,PRIVADO
14797432000180,VERDE,ALTA,ATIVA,PRIVADO
16700845000120,,INATIVA,BAIXADA,PRIVADO
14581505000100,AMARELO,BAIXA,ATIVA,PRIVADO
15309170000120,AMARELO,BAIXA,ATIVA,PRIVADO
14384803000100,VERDE,INATIVA,BAIXADA,PRIVADO
07104105000210,VERDE,ALTA,ATIVA,PRIVADO
15797920000150,VERDE,MEDIA,ATIVA,PRIVADO
89809099000180,,INATIVA,BAIXADA,PRIVADO
88740717000110,,INATIVA,BAIXADA,PRIVADO
88485743000140,,INATIVA,BAIXADA,PRIVADO
29190576000140,,INATIVA,BAIXADA,PRIVADO
51444594000160,,INATIVA,BAIXADA,PRIVADO
60124799000150,,INATIVA,BAIXADA,PRIVADO
50962802000150,,INATIVA,BAIXADA,PRIVADO
56609704000110,,INATIVA,BAIXADA,PRIVADO
25278086000140,,INATIVA,BAIXADA,PRIVADO
31669633000110,,INATIVA,BAIXADA,PRIVADO
52817210000170,,INATIVA,BAIXADA,PRIVADO
29319787000130,,INATIVA,BAIXADA,PRIVADO
19304245000130,,INATIVA,BAIXADA,PRIVADO
50109289000150,,INATIVA,BAIXADA,PRIVADO
54677331000190,,INATIVA,BAIXADA,PRIVADO
52070638000100,,INATIVA,BAIXADA,PRIVADO
55228365000160,,INATIVA,BAIXADA,PRIVADO
64797277000170,,INATIVA,BAIXADA,PRIVADO
68747245000200,,INATIVA,BAIXADA,PRIVADO
73497265000110,,INATIVA,BAIXADA,PRIVADO
67048348000120,,INATIVA,BAIXADA,PRIVADO
76684166000640,,INATIVA,BAIXADA,PRIVADO
64069826000190,,INATIVA,BAIXADA,PRIVADO
72259583000180,,INATIVA,BAIXADA,PRIVADO
78677176000170,,INATIVA,BAIXADA,PRIVADO
71540447000100,,INATIVA,BAIXADA,PRIVADO
40402109000170,,INATIVA,BAIXADA,PRIVADO
42967455000120,,INATIVA,BAIXADA,PRIVADO
44907251000120,,INATIVA,BAIXADA,PRIVADO
44245108000110,,INATIVA,BAIXADA,PRIVADO
36902278000100,,INATIVA,BAIXADA,PRIVADO
33279563000110,,INATIVA,BAIXADA,PRIVADO
37274180000100,,INATIVA,BAIXADA,PRIVADO
43221084001330,,INATIVA,BAIXADA,PRIVADO
90613217000160,,INATIVA,BAIXADA,PRIVADO
93655918000150,,INATIVA,BAIXADA,PRIVADO
87876496000140,,INATIVA,BAIXADA,PRIVADO
89438311000140,,INATIVA,BAIXADA,PRIVADO
83704502000120,,INATIVA,BAIXADA,PRIVADO
94180098000150,,INATIVA,BAIXADA,PRIVADO
93817237000140,,INATIVA,BAIXADA,PRIVADO
96594700000120,,INATIVA,BAIXADA,PRIVADO
81797078000180,,INATIVA,BAIXADA,PRIVADO
94632130000190,,INATIVA,BAIXADA,PRIVADO
91546036000120,,INATIVA,BAIXADA,PRIVADO
19645365000100,,INATIVA,BAIXADA,PRIVADO
52289014000170,,INATIVA,BAIXADA,PRIVADO
30691836000140,,INATIVA,BAIXADA,PRIVADO
20555413000140,,INATIVA,BAIXADA,PRIVADO
20000204000130,,INATIVA,BAIXADA,PRIVADO
31170392000160,,INATIVA,BAIXADA,PRIVADO
27668193000100,,INATIVA,BAIXADA,PRIVADO
27357292000170,,INATIVA,BAIXADA,PRIVADO
32224826000120,,INATIVA,BAIXADA,PRIVADO
55614317000100,,INATIVA,BAIXADA,PRIVADO
61906053000160,,INATIVA,BAIXADA,PRIVADO
50986116000110,,INATIVA,BAIXADA,PRIVADO
27306927000100,,INATIVA,BAIXADA,PRIVADO
30441406000170,,INATIVA,BAIXADA,PRIVADO
59506311000170,,INATIVA,BAIXADA,PRIVADO
61005500000100,,INATIVA,BAIXADA,PRIVADO
16294894000100,VERDE,ALTA,ATIVA,PRIVADO
26528679000180,,INATIVA,BAIXADA,PRIVADO
61672473000120,,INATIVA,BAIXADA,PRIVADO
78993045000100,,INATIVA,BAIXADA,PRIVADO
21106364000120,,INATIVA,BAIXADA,PRIVADO
53768289000150,,INATIVA,BAIXADA,PRIVADO
71196976000120,,INATIVA,BAIXADA,PRIVADO
77650638000100,,INATIVA,BAIXADA,PRIVADO
79754792000140,,INATIVA,BAIXADA,PRIVADO
32431462000150,,INATIVA,BAIXADA,PRIVADO
73104580000130,,INATIVA,BAIXADA,PRIVADO
74081167000160,,INATIVA,BAIXADA,PRIVADO
73131021000110,,INATIVA,BAIXADA,PRIVADO
80101264000170,,INATIVA,BAIXADA,PRIVADO
78744604000130,,INATIVA,BAIXADA,PRIVADO
71367874000120,,INATIVA,BAIXADA,PRIVADO
76664895000120,,INATIVA,BAIXADA,PRIVADO
77480754000110,,INATIVA,BAIXADA,PRIVADO
75814319000230,,INATIVA,BAIXADA,PRIVADO
41909805000130,,INATIVA,BAIXADA,PRIVADO
48763809000100,,INATIVA,BAIXADA,PRIVADO
38857462000100,,INATIVA,BAIXADA,PRIVADO
43716505000160,,INATIVA,BAIXADA,PRIVADO
45533981000170,,INATIVA,BAIXADA,PRIVADO
53112561000300,VERDE,MEDIA,ATIVA,PRIVADO
49464951000100,,INATIVA,BAIXADA,PRIVADO
41207010000180,,INATIVA,BAIXADA,PRIVADO
43325992000130,,INATIVA,BAIXADA,PRIVADO
32641367000180,,INATIVA,BAIXADA,PRIVADO
34955781000190,,INATIVA,BAIXADA,PRIVADO
36541985000100,,INATIVA,BAIXADA,PRIVADO
01756145000180,,INATIVA,BAIXADA,PRIVADO
57325557000110,,INATIVA,BAIXADA,PRIVADO
75814319000150,,INATIVA,BAIXADA,PRIVADO
07313662000160,,INATIVA,BAIXADA,PRIVADO
53278339000110,,INATIVA,BAIXADA,PRIVADO
26208694000140,,INATIVA,BAIXADA,PRIVADO
12496188000190,,INATIVA,BAIXADA,PRIVADO
54591094000140,,INATIVA,BAIXADA,PRIVADO
01433163000120,,INATIVA,BAIXADA,PRIVADO
01142967000170,,INATIVA,BAIXADA,PRIVADO
01712264000130,,INATIVA,BAIXADA,PRIVADO
02533201000180,,INATIVA,BAIXADA,PRIVADO
09790115000100,,INATIVA,BAIXADA,PRIVADO
10436563000180,,INATIVA,BAIXADA,PRIVADO
12220507000130,AMARELO,MEDIA,ATIVA,PRIVADO
04904391000120,LARANJA,BAIXA,ATIVA,PRIVADO
03901079000110,AZUL,ALTA,ATIVA,PRIVADO
13876515000100,AMARELO,MEDIA,ATIVA,PRIVADO
00516281000130,AZUL,MEDIA,ATIVA,PRIVADO
14823970000100,AZUL,ALTA,ATIVA,PRIVADO
17001237000190,VERDE,ALTA,ATIVA,PRIVADO
14045278000190,AZUL,ALTA,ATIVA,PRIVADO
11769325000150,AZUL,INATIVA,BAIXADA,PRIVADO
13649275000100,,INATIVA,BAIXADA,PRIVADO
15375030000150,AMARELO,MEDIA,ATIVA,PRIVADO
14830545000130,AMARELO,MEDIA,ATIVA,PRIVADO
15351613000140,AMARELO,MEDIA,ATIVA,PRIVADO
15359272000150,AZUL,ALTA,ATIVA,PRIVADO
09719436000100,LARANJA,ALTA,ATIVA,PRIVADO
13850287000190,AMARELO,MEDIA,ATIVA,PRIVADO
14023390000120,AMARELO,MEDIA,ATIVA,PRIVADO
00849004000300,VERDE,MEDIA,ATIVA,PRIVADO
15971961000110,,INATIVA,BAIXADA,PRIVADO
13658549000110,AZUL,ALTA,ATIVA,PRIVADO
14312252000160,AMARELO,MEDIA,ATIVA,PRIVADO
37564887000150,AZUL,INATIVA,BAIXADA,PRIVADO
10500306000160,AZUL,ALTA,ATIVA,PRIVADO
03583686000260,VERDE,MEDIA,ATIVA,PRIVADO
03619841000170,,INATIVA,BAIXADA,PRIVADO
88656293000100,,INATIVA,BAIXADA,PRIVADO
01243305000430,VERMELHO,INATIVA,BAIXADA,PRIVADO
01786092000140,,INATIVA,BAIXADA,PRIVADO
03937322000150,,INATIVA,BAIXADA,PRIVADO
00799074000130,AZUL,INATIVA,BAIXADA,PRIVADO
16849377000150,AMARELO,BAIXA,ATIVA,PRIVADO
03734601013790,VERMELHO,BAIXA,ATIVA,PRIVADO
14814432000140,VERDE,ALTA,ATIVA,PRIVADO
13871224000110,AMARELO,MEDIA,ATIVA,PRIVADO
94064649000110,VERMELHO,MEDIA,ATIVA,PRIVADO
08360628000100,AZUL,ALTA,ATIVA,PRIVADO
15156438000130,AMARELO,MEDIA,ATIVA,PRIVADO
15160571000160,AZUL,MEDIA,ATIVA,PRIVADO
10357393000220,VERDE,MEDIA,ATIVA,PRIVADO
08925731000150,AZUL,MEDIA,ATIVA,PRIVADO
16053467000130,,INATIVA,BAIXADA,PRIVADO
14737392000180,VERDE,ALTA,ATIVA,PRIVADO
04569277000190,,INATIVA,BAIXADA,PRIVADO
07921293000270,VERDE,ALTA,ATIVA,PRIVADO
10944008000160,VERDE,MEDIA,ATIVA,PRIVADO
05582594000100,VERDE,INATIVA,BAIXADA,PRIVADO
01051495000140,VERDE,MEDIA,ATIVA,PRIVADO
57269763000150,AZUL,ALTA,ATIVA,PRIVADO
14452737000150,AZUL,ALTA,ATIVA,PRIVADO
13335552000100,AZUL,ALTA,ATIVA,PRIVADO
13878559000160,AMARELO,MEDIA,ATIVA,PRIVADO
13941989000180,AMARELO,MEDIA,ATIVA,PRIVADO
15182288000130,VERDE,MEDIA,ATIVA,PRIVADO
15553446000110,VERDE,MEDIA,ATIVA,PRIVADO
12164098000100,AMARELO,BAIXA,ATIVA,PRIVADO
07081651000100,AZUL,ALTA,ATIVA,PRIVADO
17283441000140,AZUL,ALTA,ATIVA,PRIVADO
07806565000100,VERDE,ALTA,ATIVA,PRIVADO
11050679000140,AZUL,ALTA,ATIVA,PRIVADO
13169734000140,AMARELO,BAIXA,ATIVA,PRIVADO
15190246000140,AMARELO,MEDIA,ATIVA,PRIVADO
16480744000190,AMARELO,INATIVA,BAIXADA,PRIVADO
14465596000100,VERDE,MEDIA,ATIVA,PRIVADO
09331590000100,LARANJA,BAIXA,ATIVA,PRIVADO
11306905000100,AZUL,ALTA,ATIVA,PRIVADO
15676707000190,AZUL,BAIXA,ATIVA,PRIVADO
02300267000120,AZUL,MEDIA,ATIVA,PRIVADO
81620106000190,VERDE,INATIVA,BAIXADA,PRIVADO
68035252000190,LARANJA,BAIXA,ATIVA,PRIVADO
14753183000120,AMARELO,MEDIA,ATIVA,PRIVADO
11185206000150,AZUL,ALTA,ATIVA,PRIVADO
95035473000130,AMARELO,MEDIA,ATIVA,PRIVADO
66351065000190,LARANJA,ALTA,ATIVA,PRIVADO
48792485000120,LARANJA,MEDIA,ATIVA,PRIVADO
04617529000100,AMARELO,MEDIA,ATIVA,PRIVADO
07037992000170,VERDE,ALTA,ATIVA,PRIVADO
12783179000180,AMARELO,MEDIA,ATIVA,PRIVADO
04355056000110,LARANJA,MEDIA,ATIVA,PRIVADO
55492623000110,VERDE,ALTA,ATIVA,PRIVADO
11117576000150,AZUL,INATIVA,BAIXADA,PRIVADO
11694319000180,AZUL,MEDIA,ATIVA,PRIVADO
09568108000150,AMARELO,MEDIA,ATIVA,PUBLICO
00245285000120,AZUL,MEDIA,ATIVA,PRIVADO
00739428000150,VERDE,ALTA,ATIVA,PRIVADO
05953866000130,LARANJA,MEDIA,ATIVA,PRIVADO
16962677000140,VERDE,MEDIA,ATIVA,PRIVADO
12563448000100,AZUL,ALTA,ATIVA,PRIVADO
00311129000110,,INATIVA,BAIXADA,PRIVADO
00686049000140,,INATIVA,BAIXADA,PRIVADO
00919682000130,,INATIVA,BAIXADA,PRIVADO
00539650000100,,INATIVA,BAIXADA,PRIVADO
00416580000100,,INATIVA,BAIXADA,PRIVADO
00686974000170,,INATIVA,BAIXADA,PRIVADO
26826255000100,,INATIVA,BAIXADA,PRIVADO
22260475000150,,INATIVA,BAIXADA,PRIVADO
07362228000170,,INATIVA,BAIXADA,PRIVADO
06276262000160,,INATIVA,BAIXADA,PRIVADO
05487230000140,,INATIVA,BAIXADA,PRIVADO
06318371000100,,INATIVA,BAIXADA,PRIVADO
09760567000130,,INATIVA,BAIXADA,PRIVADO
16932888000130,AZUL,MEDIA,ATIVA,PRIVADO
03905542000100,,INATIVA,BAIXADA,PRIVADO
02686201000110,,INATIVA,BAIXADA,PRIVADO
97526837000100,AMARELO,MEDIA,ATIVA,PRIVADO
02484960000280,VERDE,ALTA,ATIVA,PRIVADO
06084773000180,AMARELO,MEDIA,ATIVA,PRIVADO
16618671000150,,INATIVA,BAIXADA,PRIVADO
03477630000140,,INATIVA,BAIXADA,PRIVADO
02937277000170,AZUL,ALTA,ATIVA,PRIVADO
06042798000110,AZUL,ALTA,ATIVA,PRIVADO
06658925000100,AMARELO,MEDIA,ATIVA,PUBLICO
02718174000110,AZUL,MEDIA,ATIVA,PRIVADO
07028901000130,AZUL,MEDIA,ATIVA,PRIVADO
11497569000120,AZUL,ALTA,ATIVA,PRIVADO
54796362000160,LARANJA,BAIXA,ATIVA,PRIVADO
08679162000100,VERDE,MEDIA,ATIVA,PRIVADO
64807035000110,AZUL,MEDIA,ATIVA,PRIVADO
15317884000180,VERDE,ALTA,ATIVA,PRIVADO
16941941000160,VERDE,MEDIA,ATIVA,PRIVADO
05277788000100,LARANJA,MUITO BAIXA,ATIVA,PRIVADO
54093471000110,,INATIVA,BAIXADA,PRIVADO
16774603000180,,INATIVA,BAIXADA,PRIVADO
04251424000180,AMARELO,MEDIA,ATIVA,PRIVADO
87120762000100,VERDE,ALTA,ATIVA,PRIVADO
04724398000160,LARANJA,MEDIA,ATIVA,PRIVADO
12842235000100,AZUL,ALTA,ATIVA,PRIVADO
06932990000930,VERDE,ALTA,ATIVA,PRIVADO
08293513000140,VERDE,ALTA,ATIVA,PRIVADO
01475296000160,AZUL,MEDIA,ATIVA,PRIVADO
12077443000160,AMARELO,MEDIA,ATIVA,PRIVADO
13388322000100,VERDE,MEDIA,ATIVA,PRIVADO
10806211000170,AZUL,MEDIA,ATIVA,PRIVADO
24008849000170,,INATIVA,BAIXADA,PRIVADO
14239440000100,AZUL,MEDIA,ATIVA,PRIVADO
19791896009310,VERDE,ALTA,ATIVA,PRIVADO
12121224000130,LARANJA,BAIXA,ATIVA,PRIVADO
08508919000100,AZUL,MEDIA,ATIVA,PRIVADO
45064714000100,AMARELO,MEDIA,ATIVA,PRIVADO
05796462000180,AMARELO,MEDIA,ATIVA,PRIVADO
04522679000130,AZUL,ALTA,ATIVA,PRIVADO
12045619000100,VERDE,ALTA,ATIVA,PRIVADO
08190659000160,AZUL,ALTA,ATIVA,PRIVADO
08961445000140,AZUL,ALTA,ATIVA,PRIVADO
69276293000130,LARANJA,BAIXA,ATIVA,PRIVADO
84462852000190,AMARELO,MEDIA,ATIVA,PRIVADO
11902017000150,VERDE,ALTA,ATIVA,PRIVADO
03504150000120,VERMELHO,MEDIA,ATIVA,PRIVADO
18867903000130,AMARELO,ALTA,ATIVA,PRIVADO
10572071154500,VERMELHO,MEDIA,ATIVA,PUBLICO
12870677000160,VERDE,ALTA,ATIVA,PRIVADO
04810494000120,VERDE,ALTA,ATIVA,PRIVADO
12465352000100,VERDE,ALTA,ATIVA,PRIVADO
11831846000190,AMARELO,MEDIA,ATIVA,PRIVADO
25099318000100,LARANJA,MEDIA,ATIVA,PRIVADO
08480976000110,AMARELO,MEDIA,ATIVA,PRIVADO
01665705000190,AZUL,ALTA,ATIVA,PRIVADO
13078757000140,AZUL,MEDIA,ATIVA,PRIVADO
86644432000150,LARANJA,MEDIA,ATIVA,PRIVADO
64109770000150,VERDE,ALTA,ATIVA,PRIVADO
12775703000170,AMARELO,MEDIA,ATIVA,PRIVADO
04825302000150,VERDE,ALTA,ATIVA,PRIVADO
06888507000100,,INATIVA,BAIXADA,PRIVADO
08798517000180,,INATIVA,BAIXADA,PRIVADO
09718148000130,,INATIVA,BAIXADA,PRIVADO
07351457000190,LARANJA,BAIXA,ATIVA,PRIVADO
04661933000180,AZUL,MEDIA,ATIVA,PRIVADO
75180760002170,VERDE,MEDIA,ATIVA,PRIVADO
03959127000120,AZUL,MEDIA,ATIVA,PRIVADO
15103924000190,VERDE,MEDIA,ATIVA,PRIVADO
04894707000140,AMARELO,ALTA,ATIVA,PRIVADO
12008981000100,AMARELO,MEDIA,ATIVA,PRIVADO
26509711000180,AZUL,ALTA,ATIVA,PRIVADO
06871885000180,AZUL,INATIVA,BAIXADA,PRIVADO
11357342000180,VERDE,ALTA,ATIVA,PRIVADO
08721697000100,AMARELO,BAIXA,ATIVA,PRIVADO
66820424000100,,INATIVA,BAIXADA,PRIVADO
07037284000130,AZUL,MEDIA,ATIVA,PRIVADO
06824964000130,AMARELO,MEDIA,ATIVA,PRIVADO
08446137000500,VERDE,MEDIA,ATIVA,PRIVADO
04190594000100,VERDE,ALTA,ATIVA,PRIVADO
25916255000120,LARANJA,MEDIA,ATIVA,PRIVADO
15624386000180,AMARELO,MEDIA,ATIVA,PRIVADO
05467204000150,,INATIVA,BAIXADA,PRIVADO
03939774000170,,INATIVA,BAIXADA,PRIVADO
02024919000140,LARANJA,BAIXA,ATIVA,PRIVADO
10169545000180,,INATIVA,BAIXADA,PRIVADO
17491887000160,,INATIVA,BAIXADA,PRIVADO
31848914000130,,INATIVA,BAIXADA,PRIVADO
74444209000180,,INATIVA,BAIXADA,PRIVADO
08923814000100,,INATIVA,BAIXADA,PRIVADO
06224697000160,,INATIVA,BAIXADA,PRIVADO
02908796000100,,INATIVA,BAIXADA,PRIVADO
02744482000110,,INATIVA,BAIXADA,PRIVADO
13316722000100,,INATIVA,BAIXADA,PRIVADO
39826375000140,,INATIVA,BAIXADA,PRIVADO
14286731000150,,INATIVA,BAIXADA,PRIVADO
10182315000150,,INATIVA,BAIXADA,PRIVADO
10905547000190,,INATIVA,BAIXADA,PRIVADO
08004405000100,,INATIVA,BAIXADA,PRIVADO
82965351000100,,INATIVA,BAIXADA,PRIVADO
43863687000100,,INATIVA,BAIXADA,PRIVADO
64996218000120,,INATIVA,BAIXADA,PRIVADO
80152713000100,,INATIVA,BAIXADA,PRIVADO
65429367000170,,INATIVA,BAIXADA,PRIVADO
62239843000100,,INATIVA,BAIXADA,PRIVADO
76756196000100,,INATIVA,BAIXADA,PRIVADO
92130442000170,,INATIVA,BAIXADA,PRIVADO
21601919000100,,INATIVA,BAIXADA,PRIVADO
16726705000120,,INATIVA,BAIXADA,PRIVADO
17140401000140,,INATIVA,BAIXADA,PRIVADO
56189426000190,,INATIVA,BAIXADA,PRIVADO
